time (day)	h (ft)
3.104166678	0.7501861
3.1076389	0.7478651
3.111111123	0.7568576
3.114583345	0.7623746
3.118055567	0.762939
3.121527789	0.7677046
3.125000012	0.7666714
3.128472234	0.7722066
3.131944456	0.7752297
3.135416678	0.7819307
3.1388889	0.7772418
3.142361123	0.7847391
3.145833345	0.7859334
3.149305567	0.790025
3.152777789	0.7985266
3.156250012	0.7990081
3.159722234	0.8038034
3.163194456	0.8053609
3.166666678	0.8054046
3.1701389	0.810412
3.173611123	0.8162602
3.177083345	0.8131554
3.180555567	0.8176216
3.184027789	0.8238053
3.187500012	0.8280489
3.190972234	0.8318695
3.194444456	0.8297357
3.197916678	0.8367735
3.2013889	0.8368013
3.204861123	0.8382483
3.208333345	0.8420852
3.211805567	0.8460404
3.215277789	0.845123
3.218750012	0.857054
3.222222234	0.8509707
3.225694456	0.8582844
3.229166678	0.8618015
3.2326389	0.861621
3.236111123	0.8687838
3.239583345	0.8699362
3.243055567	0.8740205
3.246527789	0.8770063
3.250000012	0.8761362
3.253472234	0.8851042
3.256944456	0.8860346
3.260416678	0.8889197
3.2638889	0.8933926
3.267361123	0.8995758
3.270833345	0.895811
3.274305567	0.8977099
3.277777789	0.906108
3.281250012	0.9076797
3.284722234	0.9132879
3.288194456	0.9159846
3.291666678	0.9201199
3.2951389	0.9233346
3.298611123	0.9230996
3.302083345	0.9281245
3.305555567	0.9316314
3.309027789	0.9383684
3.312500012	0.935885
3.315972234	0.9452022
3.319444456	0.9497044
3.322916678	0.9499227
3.3263889	0.9564035
3.329861123	0.9568846
3.333333345	0.9597742
3.336805567	0.9667111
3.340277789	0.9697347
3.343750012	0.9728432
3.347222234	0.9768202
3.350694456	0.9833978
3.354166678	0.9840469
3.3576389	0.9840469
3.361111123	0.9902446
3.364583345	0.9908338
3.368055567	0.9912257
3.371527789	0.9985126
3.375000012	1.00299
3.378472234	1.008193
3.381944456	1.012521
3.385416678	1.021409
3.3888889	1.024186
3.392361123	1.027143
3.395833345	1.031842
3.399305567	1.034356
3.402777789	1.038282
3.406250012	1.041954
3.409722234	1.048577
3.413194456	1.044832
3.416666678	1.050994
3.4201389	1.052935
3.423611123	1.05433
3.427083345	1.060562
3.430555567	1.06329
3.434027789	1.061975
3.437500012	1.067765
3.440972234	1.070663
3.444444456	1.073304
3.447916678	1.074433
3.4513889	1.079056
3.454861123	1.081641
3.458333345	1.080819
3.461805567	1.084607
3.465277789	1.086368
3.468750012	1.093564
3.472222234	1.085528
3.475694456	1.093489
3.479166678	1.097868
3.4826389	1.095312
3.486111123	1.101247
3.489583345	1.099766
3.493055567	1.099523
3.496527789	1.105481
3.500000012	1.1057
3.503472234	1.102562
3.506944456	1.108094
3.510416678	1.111355
3.5138889	1.108564
3.517361123	1.109167
3.520833345	1.11006
3.524305567	1.115201
3.527777789	1.117412
3.531250012	1.115337
3.534722234	1.121192
3.538194456	1.119504
3.541666678	1.120932
3.5451389	1.119232
3.548611123	1.118864
3.552083345	1.121154
3.555555567	1.122773
3.559027789	1.121906
3.562500012	1.12184
3.565972234	1.122802
3.569444456	1.1257
3.572916678	1.121927
3.5763889	1.124251
3.579861123	1.126377
3.583333345	1.122546
3.586805567	1.128248
3.590277789	1.125596
3.593750012	1.12495
3.597222234	1.12398
3.600694456	1.122757
3.604166678	1.130407
3.6076389	1.127806
3.611111123	1.130735
3.614583345	1.129264
3.618055567	1.124687
3.621527789	1.127852
3.625000012	1.128148
3.628472234	1.128276
3.631944456	1.128961
3.635416678	1.123398
3.6388889	1.124522
3.642361123	1.126276
3.645833345	1.122464
3.649305567	1.130881
3.652777789	1.127729
3.656250012	1.122779
3.659722234	1.126613
3.663194456	1.125538
3.666666678	1.123583
3.6701389	1.129815
3.673611123	1.129658
3.677083345	1.129031
3.680555567	1.124426
3.684027789	1.12677
3.687500012	1.122514
3.690972234	1.121839
3.694444456	1.130305
3.697916678	1.124414
3.7013889	1.125387
3.704861123	1.123751
3.708333345	1.122975
3.711805567	1.125152
3.715277789	1.126509
3.718750012	1.123419
3.722222234	1.128044
3.725694456	1.123629
3.729166678	1.120384
3.7326389	1.125701
3.736111123	1.122587
3.739583345	1.127194
3.743055567	1.127434
3.746527789	1.125596
3.750000012	1.127801
3.753472234	1.123629
3.756944456	1.128326
3.760416678	1.123218
3.7638889	1.124108
3.767361123	1.123849
3.770833345	1.128048
3.774305567	1.123958
3.777777789	1.132175
3.781250012	1.127728
3.784722234	1.127246
3.788194456	1.129758
3.791666678	1.129687
3.7951389	1.132532
3.798611123	1.132343
3.802083345	1.126798
3.805555567	1.12722
3.809027789	1.127599
3.812500012	1.128982
3.815972234	1.137819
3.819444456	1.139426
3.822916678	1.142535
3.8263889	1.149896
3.829861123	1.153587
3.833333345	1.151308
3.836805567	1.154193
3.840277789	1.161499
3.843750012	1.162954
3.847222234	1.16582
3.850694456	1.16364
3.854166678	1.169394
3.8576389	1.173748
3.861111123	1.168911
